freq,psd_x,psd_y,psd_z,psd_xyz
178.3,7.350e+01,1.164e+02,2.248e+02,4.147e+02
179.8,7.101e+01,1.223e+02,1.747e+02,3.680e+02
181.4,7.120e+01,1.267e+02,1.572e+02,3.550e+02
183.0,7.371e+01,1.156e+02,1.593e+02,3.485e+02
184.5,7.626e+01,1.040e+02,1.464e+02,3.267e+02
186.1,7.508e+01,1.121e+02,1.489e+02,3.361e+02
187.7,7.178e+01,1.043e+02,1.729e+02,3.490e+02
189.2,6.874e+01,1.030e+02,1.763e+02,3.481e+02
190.8,6.444e+01,1.108e+02,1.743e+02,3.496e+02
192.4,6.668e+01,1.035e+02,1.786e+02,3.487e+02
193.9,7.089e+01,1.034e+02,1.896e+02,3.639e+02
195.5,7.355e+01,1.058e+02,1.929e+02,3.723e+02
197.0,7.324e+01,1.047e+02,1.825e+02,3.605e+02
198.6,8.217e+01,9.764e+01,1.572e+02,3.370e+02
