freq,psd_x,psd_y,psd_z,psd_xyz
136.0,8.887e+03,1.764e+04,7.764e+04,1.042e+05
137.6,8.191e+03,1.718e+04,7.446e+04,9.983e+04
139.1,7.814e+03,1.707e+04,7.213e+04,9.702e+04
140.7,7.396e+03,1.690e+04,6.993e+04,9.422e+04
142.3,7.247e+03,1.704e+04,6.814e+04,9.242e+04
143.8,6.777e+03,1.589e+04,6.071e+04,8.338e+04
145.4,6.125e+03,1.397e+04,5.026e+04,7.035e+04
147.0,6.036e+03,1.432e+04,4.874e+04,6.910e+04
148.5,6.276e+03,1.468e+04,4.938e+04,7.034e+04
150.1,6.304e+03,1.437e+04,5.132e+04,7.200e+04
151.7,6.394e+03,1.379e+04,5.377e+04,7.396e+04
153.2,6.678e+03,1.300e+04,5.720e+04,7.688e+04
154.8,7.469e+03,1.221e+04,5.891e+04,7.859e+04
156.3,9.138e+03,1.248e+04,6.050e+04,8.212e+04
157.9,1.278e+04,1.549e+04,6.544e+04,9.372e+04
159.5,1.755e+04,2.095e+04,6.524e+04,1.038e+05
161.0,2.150e+04,2.818e+04,5.957e+04,1.092e+05
162.6,2.324e+04,3.591e+04,5.152e+04,1.107e+05
164.2,2.458e+04,4.379e+04,4.547e+04,1.138e+05
165.7,2.667e+04,5.126e+04,4.260e+04,1.205e+05
167.3,2.788e+04,5.442e+04,3.965e+04,1.219e+05
168.9,2.923e+04,5.547e+04,4.080e+04,1.255e+05
170.4,3.121e+04,5.619e+04,4.454e+04,1.319e+05
172.0,3.140e+04,5.365e+04,4.795e+04,1.330e+05
173.5,3.084e+04,4.967e+04,5.151e+04,1.320e+05
175.1,3.031e+04,4.532e+04,5.357e+04,1.292e+05
176.7,2.903e+04,4.095e+04,5.425e+04,1.242e+05
178.2,2.783e+04,3.733e+04,5.411e+04,1.193e+05
179.8,2.530e+04,3.160e+04,5.065e+04,1.076e+05
181.4,2.205e+04,2.544e+04,4.410e+04,9.159e+04
182.9,2.274e+04,2.532e+04,4.786e+04,9.592e+04
184.5,2.215e+04,2.367e+04,4.664e+04,9.247e+04
186.1,2.173e+04,2.253e+04,4.605e+04,9.030e+04
187.6,2.253e+04,2.169e+04,4.611e+04,9.033e+04
189.2,2.331e+04,2.144e+04,4.637e+04,9.113e+04
190.7,2.409e+04,2.045e+04,4.630e+04,9.084e+04
192.3,2.414e+04,1.871e+04,4.400e+04,8.685e+04
193.9,2.548e+04,1.807e+04,4.336e+04,8.691e+04
195.4,2.728e+04,1.837e+04,4.423e+04,8.989e+04
197.0,2.733e+04,1.829e+04,4.102e+04,8.663e+04
198.6,2.418e+04,1.540e+04,3.557e+04,7.515e+04
